YMCC,fuelups,kml
2003 BMW F650 GS Dakar,Added Sep 2012 &bull; 11 fuel-ups Property of CJCombrink . 3.7Avg L/100km.,3.7
2003 BMW F650 GS Dakar,Added Apr 2009 &bull; 8 fuel-ups Property of randydief . 3.7Avg L/100km.,3.7
2003 BMW F650 GS Dakar,Added Jul 2011 &bull; 19 fuel-ups Property of ZiLg0 . 4.2Avg L/100km.,4.2
2003 BMW F650 GS Dakar,Added Jul 2009 &bull; 10 fuel-ups Property of vemsom. 3.6Avg L/100km.,3.6
2002 BMW F650 GS Dakar,Added Mar 2012 &bull; 9 fuel-ups Property of wvb . 5.4Avg L/100km.,5.4
2002 BMW F650 GS Dakar,Added Apr 2012 &bull; 18 fuel-ups Property of cperda . 4.6Avg L/100km.,4.6
2002 BMW F650 GS Dakar,Added Apr 2012 &bull; 2 fuel-ups Property of Aneug . 5.5Avg L/100km.,5.5
2002 BMW F650 GS Dakar,Added Apr 2011 &bull; 6 fuel-ups Property of K9NSP . 4.4Avg L/100km.,4.4
2002 BMW F650 GS Dakar,Added May 2012 &bull; 28 fuel-ups Property of Cdcharters . 4.5Avg L/100km.,4.5
2001 BMW F650 GS Dakar,Added Dec 2011 &bull; 37 fuel-ups Property of gromit . 4.3Avg L/100km.,4.3
2001 BMW F650 GS Dakar,Added Aug 2009 &bull; 38 fuel-ups Property of markdixon . 4.2Avg L/100km.,4.2
2001 BMW F650 GS Dakar,Added Jan 2013 &bull; 52 fuel-ups Property of AndreDakar . 5.1Avg L/100km.,5.1
2001 BMW F650 GS Dakar,Added Apr 2011 &bull; 12 fuel-ups Property of rcrabb . 5.0Avg L/100km.,5
2005 BMW F650CS,Added Oct 2011 &bull; 49 fuel-ups Property of travatron4000 . 4.4Avg L/100km.,4.4
2005 BMW F650CS,Added May 2010 &bull; 40 fuel-ups Property of stinkyjones . 4.3Avg L/100km.,4.3
2005 BMW F650CS,Added Sep 2009 &bull; 31 fuel-ups Property of yellowf650cs. 3.6Avg L/100km.,3.6
2005 BMW F650CS,Added Feb 2010 &bull; 1 fuel-up Property of paulmarrington . 4.3Avg L/100km.,4.3
