"YMCC","fuelups","kml"
"2010 Aprilia Scarabeo 200","Added Jun 2011 &bull; 21 fuel-ups Property of lebasi .","22.3"
"2010 Aprilia Scarabeo 200","Added Dec 2011 &bull; 1 fuel-up Property of tolme .","N/A"
"2010 Aprilia Scarabeo 200","Added Jul 2012 &bull; 23 fuel-ups Property of sezme .","27.8"
"2010 Aprilia Scarabeo 200","Added Oct 2010 &bull; 1 fuel-up Property of Talos .","N/A"
"2009 Aprilia Scarabeo 200","Added Jun 2011 &bull; 16 fuel-ups Property of rd81 .","28.7"
"2009 Aprilia Scarabeo 200","Added Oct 2009 &bull; 90 fuel-ups Property of godders .","30.1"
"2009 Aprilia Scarabeo 200","Added Sep 2012 &bull; 5 fuel-ups Property of ko6zl .","31.3"
"2009 Aprilia Scarabeo 200","Added Nov 2011 &bull; 17 fuel-ups Property of dammitau .","27.3"
"2009 Aprilia Scarabeo 200","Added Feb 2011 &bull; 25 fuel-ups Property of Whynot .","27.4"
"2009 Aprilia Scarabeo 200","Added Jul 2009 &bull; 11 fuel-ups Property of paulmarrington .","29.5"
"2009 Aprilia Scarabeo 200","Added Aug 2012 Property of chindog .","N/A"
"2009 Aprilia Scarabeo 200","Added Aug 2010 Property of tofumatt .","N/A"
"2008 Aprilia Scarabeo 200","Added May 2011 &bull; 7 fuel-ups Property of roggerdavid .","30.2"
"2008 Aprilia Scarabeo 200","Added Jul 2009 &bull; 1 fuel-up Property of Dakoda .","N/A"
"2008 Aprilia Scarabeo 200","Added Oct 2009 &bull; 1 fuel-up Property of brytrkr1 .","28.4"
"2000 Aprilia Scarabeo 200","Added Mar 2011 Property of akaTori .","N/A"
"2012 Aprilia Scarabeo 200ie","Added May 2012 &bull; 20 fuel-ups Property of contes .","29.5"
"2011 Aprilia Scarabeo 200ie","Added Mar 2012 Property of Transilvania .","N/A"
"2009 Aprilia Scarabeo 200ie","Added Aug 2012 &bull; 7 fuel-ups Property of doosteps .","31.4"
"2006 Aprilia Scarabeo 250","Added Jul 2011 &bull; 44 fuel-ups Property of Stubbie .","26.2"
"2006 Aprilia Scarabeo 250","Added Sep 2011 &bull; 33 fuel-ups Property of Stubbie .","25.6"
"2006 Aprilia Scarabeo 250","Added Sep 2010 &bull; 226 fuel-ups Property of Wayward .","26.3"
"2008 Aprilia Scarabeo 250ie","Added Jun 2009 &bull; 18 fuel-ups Property of cdhcmck .","28.4"
"2006 Aprilia Scarabeo 250ie","Added Jan 2010 &bull; 4 fuel-ups Property of noahyzf1000.","25.8"
"2010 Aprilia Scarabeo 300 Special","Added Jun 2011 &bull; 97 fuel-ups Property of godders .","30.2"
"2010 Aprilia Scarabeo 300 Special","Added Jul 2010 &bull; 1 fuel-up Property of kke .","25.3"
"2009 Aprilia Scarabeo 300 Special","Added Nov 2009 &bull; 65 fuel-ups Property of pauleta .","27.9"
"2009 Aprilia Scarabeo 300 Special","Added Jul 2010 Property of abet1979 .","N/A"
"2009 Aprilia Scarabeo 500","Added Jun 2009 Property of CrownSeven.","N/A"
"2007 Aprilia Scarabeo 500","Added Jun 2009 Property of adamtassell.","N/A"
"2006 Aprilia Scarabeo 500","Added Apr 2011 &bull; 89 fuel-ups Property of kutch .","20.4"
"2005 Aprilia Scarabeo 500","Added Aug 2009 &bull; 4 fuel-ups Property of Scarab.","24.0"
"2004 Aprilia Scarabeo 500","Added Jul 2010 &bull; 9 fuel-ups Property of radiation .","22.9"
"2004 Aprilia Scarabeo 500","Added Apr 2009 Property of ScooterGeek.","N/A"
"2010 Aprilia Scarabeo 500ie","Added Jun 2012 Property of bef2111 .","N/A"
"2010 Aprilia Scarabeo 500ie","Added Jun 2012 &bull; 1 fuel-up Property of ZValdovinos .","N/A"
"2009 Aprilia Scarabeo 500ie","Added Sep 2009 &bull; 7 fuel-ups Property of onlinemike.","21.5"
"2009 Aprilia Scarabeo 500ie","Added Mar 2012 &bull; 6 fuel-ups Property of ButtPlugg .","28.1"
"2009 Aprilia Scarabeo 500ie","Added Apr 2012 Property of rcan08 .","N/A"
"2008 Aprilia Scarabeo 500ie","Added May 2012 &bull; 8 fuel-ups Property of bfeley .","22.1"
"2007 Aprilia Scarabeo 500ie","Added Jul 2010 &bull; 51 fuel-ups Property of jdmady .","24.3"
"2007 Aprilia Scarabeo 500ie","Added Mar 2010 &bull; 187 fuel-ups Property of mythdraug .","22.7"
"2007 Aprilia Scarabeo 500ie","Added Jun 2009 &bull; 44 fuel-ups Property of ssbillyd.","26.1"
"2007 Aprilia Scarabeo 500ie","Added Aug 2010 &bull; 9 fuel-ups Property of Pancho .","23.0"
"2011 Aprilia Shiver 750 SL","Added Jan 2012 &bull; 20 fuel-ups Property of shiver750 .","16.0"
"2011 Aprilia Shiver 750 SL","Added Aug 2012 &bull; 3 fuel-ups Property of bumblebee8311 .","17.3"
"2011 Aprilia Shiver 750 SL","Added May 2012 &bull; 4 fuel-ups Property of mattonbass .","19.9"
"2009 Aprilia Shiver 750 SL","Added Sep 2011 &bull; 13 fuel-ups Property of Cammie45 .","16.8"
"2009 Aprilia Shiver 750 SL","Added Jul 2012 &bull; 4 fuel-ups Property of VTX .","30.0"
"2009 Aprilia Shiver 750 SL","Added May 2011 &bull; 3 fuel-ups Property of tmcguire47 .","16.8"
"2009 Aprilia Shiver 750 SL","Added Sep 2012 Property of kobraman .","N/A"
"2008 Aprilia Shiver 750 SL","Added Apr 2011 Property of jimgo .","N/A"
"2008 Aprilia Shiver 750 SL","Added Sep 2010 Property of bentouza .","N/A"
"2004 Aprilia SL 1000 FALCO","Added Apr 2010 &bull; 30 fuel-ups Property of dyzio .","14.0"
"2003 Aprilia SL 1000 FALCO","Added Feb 2011 &bull; 100 fuel-ups Property of berg .","11.2"
"2003 Aprilia SL 1000 FALCO","Added Jun 2011 &bull; 41 fuel-ups Property of tbirdfiend281 .","14.0"
"2009 Aprilia sportcity 200","Added Apr 2011 &bull; 47 fuel-ups Property of gtse .","24.1"
"2007 Aprilia sportcity 200","Added Jul 2011 &bull; 23 fuel-ups Property of malliemcg .","28.0"
"2006 Aprilia sportcity 200","Added Jun 2011 &bull; 38 fuel-ups Property of carless .","33.7"
"2009 Aprilia SportCity 250ie","Added Aug 2012 &bull; 1 fuel-up Property of RobbieC .","21.6"
"2009 Aprilia SportCity 250ie","Added Feb 2011 &bull; 41 fuel-ups Property of crackhead .","29.9"
"2009 Aprilia SportCity 250ie","Added Nov 2011 &bull; 4 fuel-ups Property of spacetiger .","31.1"
"2009 Aprilia SportCity 250ie","Added Oct 2012 &bull; 2 fuel-ups Property of ko6zl .","26.0"
"2009 Aprilia SportCity 250ie","Added Jun 2012 &bull; 6 fuel-ups Property of EricC .","30.3"
"2009 Aprilia SportCity 250ie","Added Aug 2011 &bull; 23 fuel-ups Property of supersonicf111 .","25.1"
"2009 Aprilia SportCity 250ie","Added Jan 2011 &bull; 17 fuel-ups Property of sinosoul .","29.0"
"2008 Aprilia SportCity 250ie","Added Jul 2009 &bull; 1 fuel-up Property of sentoria.","9.5"
"2008 Aprilia SportCity 250ie","Added Apr 2009 Property of Wrenna.","N/A"
"2008 Aprilia SportCity 250ie","Added Mar 2011 Property of lwilliams234 .","N/A"
"2007 Aprilia SportCity 250ie","Added Oct 2012 &bull; 23 fuel-ups Property of Itimnapusa .","33.1"
"2007 Aprilia SportCity 250ie","Added Dec 2011 &bull; 32 fuel-ups Property of stclairtr .","27.0"
"2007 Aprilia SportCity 250ie","Added Feb 2009 &bull; 23 fuel-ups Property of DarthMalaguti .","29.2"
"2012 Aprilia Sportcity Cube 300","Added Oct 2012 &bull; 8 fuel-ups Property of GTme .","30.6"
"2011 Aprilia Sportcity Cube 300","Added Jan 2012 &bull; 12 fuel-ups Property of Lanyu .","24.8"
