Year,Make,Model,fuelups,user,KML,MPG,LP100KM,CC,Style,url
2009,Aprilia,Scarabeo 200,90,godders,30.1,70.8,3.32,200,,http://www.fuelly.com/driver/godders/
2008,Aprilia,Scarabeo 200,7,roggerdavid,30.2,71.0,3.31,200,,http://www.fuelly.com/driver/roggerdavid/
2009,Aprilia,Scarabeo 200,5,ko6zl,31.3,73.6,3.19,200,,http://www.fuelly.com/driver/ko6zl/
2012,Aprilia,Scarabeo 200ie,20,contes,29.5,69.4,3.39,200,,http://www.fuelly.com/driver/contes/
2009,Aprilia,Scarabeo 200ie,7,doosteps,31.4,73.9,3.18,200,,http://www.fuelly.com/driver/doosteps/
2006,Aprilia,Scarabeo 250,33,Stubbie,25.6,60.2,3.91,250,,http://www.fuelly.com/driver/Stubbie/
2006,Aprilia,Scarabeo 250,44,Stubbie,26.2,61.6,3.82,250,,http://www.fuelly.com/driver/Stubbie/
2006,Aprilia,Scarabeo 250,226,Wayward,26.3,61.9,3.80,250,,http://www.fuelly.com/driver/Wayward/
2006,Aprilia,Scarabeo 250ie,4,noahyzf1000.,25.8,60.7,3.88,250,,http://www.fuelly.com/driver/noahyzf1000./
2008,Aprilia,Scarabeo 250ie,18,cdhcmck,28.4,66.8,3.52,250,,http://www.fuelly.com/driver/cdhcmck/
2010,Aprilia,Scarabeo 300 Special,1,kke,25.3,59.5,3.95,300,,http://www.fuelly.com/driver/kke/
2009,Aprilia,Scarabeo 300 Special,65,pauleta,27.9,65.6,3.58,300,,http://www.fuelly.com/driver/pauleta/
2010,Aprilia,Scarabeo 300 Special,97,godders,30.2,71.0,3.31,300,,http://www.fuelly.com/driver/godders/
2006,Aprilia,Scarabeo 500,89,kutch,20.4,48.0,4.90,500,,http://www.fuelly.com/driver/kutch/
2004,Aprilia,Scarabeo 500,9,radiation,22.9,53.9,4.37,500,,http://www.fuelly.com/driver/radiation/
2005,Aprilia,Scarabeo 500,4,Scarab.,24,56.5,4.17,500,,http://www.fuelly.com/driver/Scarab./
2009,Aprilia,Scarabeo 500ie,7,onlinemike.,21.5,50.6,4.65,500,,http://www.fuelly.com/driver/onlinemike./
2008,Aprilia,Scarabeo 500ie,8,bfeley,22.1,52.0,4.52,500,,http://www.fuelly.com/driver/bfeley/
2007,Aprilia,Scarabeo 500ie,187,mythdraug,22.7,53.4,4.41,500,,http://www.fuelly.com/driver/mythdraug/
2007,Aprilia,Scarabeo 500ie,9,Pancho,23,54.1,4.35,500,,http://www.fuelly.com/driver/Pancho/
2007,Aprilia,Scarabeo 500ie,51,jdmady,24.3,57.2,4.12,500,,http://www.fuelly.com/driver/jdmady/
2007,Aprilia,Scarabeo 500ie,44,ssbillyd.,26.1,61.4,3.83,500,,http://www.fuelly.com/driver/ssbillyd./
