2011,Aprilia,Shiver 750 SL,17.3,40.7,5.78,750,http://www.fuelly.com/driver/bumblebee8311/
2009,Aprilia,Shiver 750 SL,17.7,41.6,5.65,750,http://www.fuelly.com/driver/VTX/
2011,Aprilia,Shiver 750 SL,19.9,46.8,5.03,750,http://www.fuelly.com/driver/mattonbass/
2003,Aprilia,SL 1000 FALCO,11.2,26.3,8.93,1000,http://www.fuelly.com/driver/berg/
2004,Aprilia,SL 1000 FALCO,14,32.9,7.14,1000,http://www.fuelly.com/driver/dyzio/
2003,Aprilia,SL 1000 FALCO,14,32.9,7.14,1000,http://www.fuelly.com/driver/tbirdfiend281/
2009,Aprilia,sportcity 200,24.1,56.7,4.15,200,http://www.fuelly.com/driver/gtse/
2007,Aprilia,sportcity 200,28,65.9,3.57,200,http://www.fuelly.com/driver/malliemcg/
2006,Aprilia,sportcity 200,33.7,79.3,2.97,200,http://www.fuelly.com/driver/carless/
2009,Aprilia,SportCity 250ie,21.6,50.8,4.63,250,http://www.fuelly.com/driver/RobbieC/
2009,Aprilia,SportCity 250ie,25.1,59,3.98,250,http://www.fuelly.com/driver/supersonicf111/
2009,Aprilia,SportCity 250ie,26,61.2,3.85,250,http://www.fuelly.com/driver/ko6zl/
2007,Aprilia,SportCity 250ie,27,63.5,3.7,250,http://www.fuelly.com/driver/stclairtr/
2009,Aprilia,SportCity 250ie,29,68.2,3.45,250,http://www.fuelly.com/driver/sinosoul/
2007,Aprilia,SportCity 250ie,29.2,68.7,3.42,250,http://www.fuelly.com/driver/DarthMalaguti/
2009,Aprilia,SportCity 250ie,29.9,70.3,3.34,250,http://www.fuelly.com/driver/crackhead/
2009,Aprilia,SportCity 250ie,30.3,71.3,3.3,250,http://www.fuelly.com/driver/EricC/
2009,Aprilia,SportCity 250ie,31.1,73.2,3.22,250,http://www.fuelly.com/driver/spacetiger/
2007,Aprilia,SportCity 250ie,33.1,77.9,3.02,250,http://www.fuelly.com/driver/Itimnapusa/
2011,Aprilia,Sportcity Cube 300,24.8,58.3,4.03,300,http://www.fuelly.com/driver/Lanyu/
2012,Aprilia,Sportcity Cube 300,30.6,72,3.27,300,http://www.fuelly.com/driver/GTme/
2009,Aprilia,SportCity One 125,25.9,60.9,3.86,125,http://www.fuelly.com/driver/YeahNo/
2009,Aprilia,SportCity One 125,26.3,61.9,3.8,125,http://www.fuelly.com/driver/bartron3030/
2006,Aprilia,SportCity One 125,28.8,67.7,3.47,125,http://www.fuelly.com/driver/weirdoku/
2009,Aprilia,SportCity One 125,29.5,69.4,3.39,125,http://www.fuelly.com/driver/1SmileaD/
2006,Aprilia,SR50,30.7,72.2,3.26,50,http://www.fuelly.com/driver/Perlice/
2009,Aprilia,SR50,34.1,80.2,2.93,50,http://www.fuelly.com/driver/dobs/
2003,Aprilia,SR50,37.9,89.1,2.64,50,http://www.fuelly.com/driver/Heidilala/
1999,Aprilia,SR50 Racing Replica,24,56.5,4.17,50,http://www.fuelly.com/driver/kdemas/
1998,Aprilia,SR50 Racing Replica,27.8,65.4,3.6,50,http://www.fuelly.com/driver/fontesrui/
2007,Aprilia,SR50 Racing Replica,36.9,86.8,2.71,50,http://www.fuelly.com/driver/mfberman/
2003,Aprilia,SR50 Racing Replica,38,89.4,2.63,50,http://www.fuelly.com/driver/mfberman/
2009,Aprilia,SR50R Factory,25.7,60.5,3.89,50,http://www.fuelly.com/driver/Snugg/
2009,Aprilia,SR50R Factory,34.2,80.4,2.92,50,http://www.fuelly.com/driver/tony216/
2009,Aprilia,SR50R Factory,38.5,90.6,2.6,50,http://www.fuelly.com/driver/jb./
2009,Aprilia,SR50R Factory,41,96.4,2.44,50,http://www.fuelly.com/driver/jeffb./
2012,Aprilia,SRV 850 ABS ATC,16.7,39.3,5.99,850,http://www.fuelly.com/driver/kemmo/
2009,Aprilia,SXV 550,9.8,23.1,10.2,550,http://www.fuelly.com/driver/swerver/
2008,Baja,SC150,29.6,69.6,3.38,150,http://www.fuelly.com/driver/TrueRollers/
2011,Baja,SC150,29.8,70.1,3.36,150,http://www.fuelly.com/driver/myspectacularjourney/
2013,Baja,SC50,34.1,80.2,2.93,50,http://www.fuelly.com/driver/wflaw45/
2002,Bajaj,150,32.5,76.4,3.08,150,http://www.fuelly.com/driver/bagel/
2013,Bajaj,Boxer BM100 Classic,44.7,105.1,2.24,100,http://www.fuelly.com/driver/Sergh/
2011,Bajaj,Pulsar 135 LS,15,35.3,6.67,135,http://www.fuelly.com/driver/Mystgun/
2012,Bajaj,Pulsar 135 LS,37.5,88.2,2.67,135,http://www.fuelly.com/driver/depeuve/
2011,Bajaj,Pulsar 135 LS,41.5,97.6,2.41,135,http://www.fuelly.com/driver/linkinparklive/
2012,Bajaj,Pulsar 135 LS,41.8,98.3,2.39,135,http://www.fuelly.com/driver/hiantoro/
2011,Bajaj,Pulsar 135 LS,47.1,110.8,2.12,135,http://www.fuelly.com/driver/agzorig/
2010,Bajaj,Pulsar 135 LS,48.7,114.6,2.05,135,http://www.fuelly.com/driver/x3v4nx/
2006,Bajaj,Pulsar 150 DTSi,49.2,115.7,2.03,150,http://www.fuelly.com/driver/Renji/
2010,Bajaj,PULSAR 180 DTSI-UG4,42.1,99,2.38,180,http://www.fuelly.com/driver/hard/
2012,Bajaj,Pulsar 220,23.8,56,4.2,220,http://www.fuelly.com/driver/jhonnattik/
2010,Bajaj,Pulsar 220,24.6,57.9,4.07,220,http://www.fuelly.com/driver/Tripper/
2010,Bajaj,Pulsar 220,34.8,81.9,2.87,220,http://www.fuelly.com/driver/adventuresystem/
2007,Bajaj,Pulsar 220,37.6,88.4,2.66,220,http://www.fuelly.com/driver/adityab/
2010,Bajaj,Pulsar 220,37.7,88.7,2.65,220,http://www.fuelly.com/driver/rachitleo/
2007,Bajaj,pulsar 220,43.2,101.6,2.31,220,http://www.fuelly.com/driver/kashifsayed./
2007,Bajaj,Pulsar 220,43.5,102.3,2.3,220,http://www.fuelly.com/driver/ak78/
2007,Baron,150-R Retro,22.7,53.4,4.41,150,http://www.fuelly.com/driver/PikaPikaChick/
2006,Baron,speedster 150,30.8,72.4,3.25,150,http://www.fuelly.com/driver/nerdtastic/
2010,Benelli,49X,19.8,46.6,5.05,49,http://www.fuelly.com/driver/FJCruiser/
2009,Benelli,Tre k 899,14,32.9,7.14,899,http://www.fuelly.com/driver/Lanyu/
2008,Benelli,Velvet 125,32.7,76.9,3.06,125,http://www.fuelly.com/driver/fishnet2/
2012,Beta,RR 400 enduro,17.8,41.9,5.62,400,http://www.fuelly.com/driver/aie/
2012,Big,Boy Revival 150 E5,28.3,66.6,3.53,150,http://www.fuelly.com/driver/SirHackelot/
2011,Big,Boy Revival 150e,23.8,56,4.2,150,http://www.fuelly.com/driver/whitepuff/
2012,Big,Boy Revival 150e,29.7,69.9,3.37,150,http://www.fuelly.com/driver/boylegend/
2010,BMS,Motorsports Heritage 150,21.9,51.5,4.57,150,http://www.fuelly.com/driver/melemel/
2011,BMS,Motorsports Palazzo 150,27.6,64.9,3.62,150,http://www.fuelly.com/driver/besumi/
2012,BMS,Motorsports TBX 260,33.6,79,2.98,260,http://www.fuelly.com/driver/mikeyphillips/
2008,BMS,Motorsports TBX 260,38.4,90.3,2.6,260,http://www.fuelly.com/driver/Dialm4speed/
2012,BMW,C 650 GT,20.5,48.2,4.88,650,http://www.fuelly.com/driver/ttdriver/
2007,BMW,F650 GS,8.6,20.2,11.63,650,http://www.fuelly.com/driver/Fen/
2001,BMW,F650 GS,13.8,32.5,7.25,650,http://www.fuelly.com/driver/Grimstone/
1994,BMW,F650 GS,17.8,41.9,5.62,650,http://www.fuelly.com/driver/bolasch/
2006,BMW,F650 GS,18.9,44.5,5.29,650,http://www.fuelly.com/driver/ArnoRoux/
2002,BMW,F650 GS,19.4,45.6,5.15,650,http://www.fuelly.com/driver/mrbond/
2002,BMW,F650 GS,19.5,45.9,5.13,650,http://www.fuelly.com/driver/DaveT/
2001,BMW,F650 GS,20.1,47.3,4.98,650,http://www.fuelly.com/driver/yoeddy/
2006,BMW,F650 GS,21,49.4,4.76,650,http://www.fuelly.com/driver/Hanno/
2002,BMW,F650 GS,21.4,50.3,4.67,650,http://www.fuelly.com/driver/LimSteel/
2005,BMW,F650 GS,22,51.7,4.55,650,http://www.fuelly.com/driver/johnrhopkins/
2005,BMW,F650 GS,22.4,52.7,4.46,650,http://www.fuelly.com/driver/Largeviking/
2007,BMW,F650 GS,22.8,53.6,4.39,650,http://www.fuelly.com/driver/fs2k2isfun/
2001,BMW,F650 GS,22.9,53.9,4.37,650,http://www.fuelly.com/driver/TDImiser/
2003,BMW,F650 GS,23.6,55.5,4.24,650,http://www.fuelly.com/driver/ChristoffGS/
2003,BMW,F650 GS,24.1,56.7,4.15,650,http://www.fuelly.com/driver/existent80/
2004,BMW,F650 GS,24.3,57.2,4.12,650,http://www.fuelly.com/driver/RDT953/
2002,BMW,F650 GS,24.3,57.2,4.12,650,http://www.fuelly.com/driver/steveyg/
