Year,Make,Model,fuelups,user,KML,kms,CC,Style,url
2010,Suzuki,ADRESS 125,6,coutinho,47.1,282.6,125,,http://www.fuelly.com/driver/coutinho/ADRESS 125
2011,Honda,CBF125,27,spikeymern,47,1269,125,,
2012,Honda,PCX,1,gnlmendes,47,47,,,
2007,Yamaha,LC135,34,semutlesehan,47,1598,350,,
2007,Genuine,Buddy 125,14,echitch,46.9,656.6,125,,
2012,Honda,PCX,6,mikeymike80,46.8,280.8,,,
2010,Genuine,Stella 150 4T,3,WonderStella,46.7,140.1,150,,
2004,Suzuki,FD110,114,speedrider,46.7,5323.8,110,,
2009,Yamaha,C3,2,mng1491,46.7,93.4,50,Scooter,
2012,Genuine,Stella 150 4T,18,Snownomi,46.6,838.8,150,,
2009,Yamaha,Ego S,10,kiyeks,46.6,466,,,
2012,Honda,PCX,7,HugoRR,46.4,324.8,,,
2011,Honda,PCX,32,gumbykrg,46.4,1484.8,,,
2011,Honda,RR150,5,c95052,46.4,232,150,,
1997,Honda,C90,4,Skienzy,46.3,185.2,90,,
2012,Suzuki,Smash V115,22,EmO,46.3,1018.6,115,,
2010,Vespa,GTS 300 Super,10,MsVespa.,46.3,463,300,,
1978,Yamaha,V50,5,johnnybfive,46.3,231.5,50,,
2013,Yamaha,Zuma,6,markles,46.3,277.8,,,
2008,Honda,Metropolitan,15,pozo,46.2,693,,,
2011,Honda,PCX,1,papakilo87,46.2,46.2,,,
2012,Create,A Custom Chinese,16,Gossamer,46.1,737.6,,,http://www.fuelly.com/driver/Gossamer/A Custom Chinese
2007,Genuine,Buddy 125,7,Avonpirate,46.1,322.7,125,,
2012,Honda,CBF125,3,roshurwill,46.1,138.3,125,,
2012,Honda,PCX,2,fantasma,46.1,92.2,,,
2010,SYM,Symba,4,bckc,46.1,184.4,,,
2012,Honda,CBF125,4,dazzle,46,184,125,,
2010,Honda,CBF125,4,Ivan69,46,184,125,,
2012,Genuine,Stella 150 4T,16,lbcguy,45.9,734.4,150,,
