Year,Make,Model,Model,fuelups,user,kml,kms,CC,,,
2012,BMW,F800ST    ,F800ST,12,Disastrous,20.8,249.6,,,,
2012,BMW,F800ST    ,F800ST,5,ppc750,22.8,114,,,,
2012,BMW,F800ST    ,F800ST,26,dreamwave6,22.7,590.2,,,,
2012,BMW,F800ST    ,F800ST,4,nortonxsu,21.9,87.6,,,,
2011,BMW,F800ST    ,F800ST,21,ir,21.8,457.8,,,,
2011,BMW,F800ST    ,F800ST,15,Kiroluna,20.5,307.5,,,,
2011,BMW,F800ST    ,F800ST,8,macapaca,21.9,175.2,,,,
2011,BMW,F800ST    ,F800ST,144,Sion1771,22.1,3182.4,,,,
2011,BMW,F800ST    ,F800ST,87,heckoch,19.1,1661.7,,,,
2010,BMW,F800ST    ,F800ST,283,BicycleBoy,28.8,8150.4,,,,
2010,BMW,F800ST    ,F800ST,2,emailman,27.2,54.4,,,,
2010,BMW,F800ST    ,F800ST,30,jukeboXXX,23.6,708,,,,
2010,BMW,F800ST    ,F800ST,55,bradrf,22.6,1243,,,,
2010,BMW,F800ST    ,F800ST,11,Chezard,19.5,214.5,,,,
2009,BMW,F800ST    ,F800ST,90,kkaykk,24.2,2178,,,,
2009,BMW,F800ST    ,F800ST,27,smpl5,20.9,564.3,,,,
2009,BMW,F800ST    ,F800ST,11,alfa13,23.4,257.4,,,,
2009,BMW,F800ST    ,F800ST,122,DH63,22.9,2793.8,,,,
2009,BMW,F800ST    ,F800ST,121,bricabrac,23.2,2807.2,,,,
2009,BMW,F800ST    ,F800ST,35,jcarpino,24.1,843.5,,,,
2009,BMW,F800ST    ,F800ST,68,Cdcro,19.7,1339.6,,,,
2009,BMW,F800ST    ,F800ST,35,gietl,25.7,899.5,,,,
2009,BMW,F800ST    ,F800ST,40,Roymondo,19.8,792,,,,
2009,BMW,F800ST    ,F800ST,1,qaz,20.8,20.8,,,,
2009,BMW,F800ST    ,F800ST,41,veryhumid,24.8,1016.8,,,,
2009,BMW,F800ST    ,F800ST,4,Kaidynce,20.8,83.2,,,,
2009,BMW,F800ST    ,F800ST,137,mikie,26.2,3589.4,,,,
2009,BMW,F800ST    ,F800ST,17,tlethere,22,374,,,,
2009,BMW,F800ST    ,F800ST,1,dewisant,20.9,20.9,,,,
2009,BMW,F800ST    ,F800ST,32,touchton.,21.9,700.8,,,,
2009,BMW,F800ST    ,F800ST,31,LBS,20.7,641.7,,,,
2009,BMW,F800ST    ,F800ST,58,jeffmclark,20.6,1194.8,,,,
2009,BMW,F800ST    ,F800ST,1,av8npa,22.3,22.3,,,,
2009,BMW,F800ST    ,F800ST,6,Jaimew,24.7,148.2,,,,
2008,BMW,F800ST    ,F800ST,203,tpcole22.,22.2,4506.6,,,,
2008,BMW,F800ST    ,F800ST,61,keizai,23.9,1457.9,,,,
2008,BMW,F800ST    ,F800ST,115,bbb,20.4,2346,,,,
2008,BMW,F800ST    ,F800ST,14,koalaballa,21,294,,,,
2008,BMW,F800ST    ,F800ST,131,CroftsMan,20.5,2685.5,,,,
2008,BMW,F800ST    ,F800ST,53,combustor,25.8,1367.4,,,,
2008,BMW,F800ST    ,F800ST,27,ohg59,22.5,607.5,,,,
2008,BMW,F800ST    ,F800ST,91,Rogrrr,22.8,2074.8,,,,
2008,BMW,F800ST    ,F800ST,36,SConour,25.6,921.6,,,,
2008,BMW,F800ST    ,F800ST,44,IndyBMW,23.6,1038.4,,,,
2008,BMW,F800ST    ,F800ST,11,hendrik,24.3,267.3,,,,
2008,BMW,F800ST    ,F800ST,18,reycer,21.1,379.8,,,,
2008,BMW,F800ST    ,F800ST,2,prezzy,17.3,34.6,,,,
2008,BMW,F800ST    ,F800ST,20,NWJDI,21.4,428,,,,
2008,BMW,F800ST    ,F800ST,45,four12,22.4,1008,,,,
2008,BMW,F800ST    ,F800ST,1,F800StGal.,25.6,25.6,,,,
2008,BMW,F800ST    ,F800ST,53,Brendan,25.1,1330.3,,,,
2008,BMW,F800ST    ,F800ST,56,sonnyboy,26.6,1489.6,,,,
2008,BMW,F800ST    ,F800ST,98,rad,24.4,2391.2,,,,
2008,BMW,F800ST    ,F800ST,9,BMWBarbe,26.8,241.2,,,,
2008,BMW,F800ST    ,F800ST,13,DesiRider,22,286,,,,
2007,BMW,F800ST    ,F800ST,3,mj72,21,63,,,,
2007,BMW,F800ST    ,F800ST,87,wvb,20.2,1757.4,,,,
2007,BMW,F800ST    ,F800ST,28,PhotoRex,23.4,655.2,,,,
2007,BMW,F800ST    ,F800ST,36,mikeo,24.1,867.6,,,,
2007,BMW,F800ST    ,F800ST,249,superduper,22.5,5602.5,,,,
2007,BMW,F800ST    ,F800ST,2,Kostas.,17.3,34.6,,,,
2007,BMW,F800ST    ,F800ST,3,DjMoFunk.,23.4,70.2,,,,
2007,BMW,F800ST    ,F800ST,4,F800StGal.,26,104,,,,
2007,BMW,F800ST    ,F800ST,8,posthuman,22.2,177.6,,,,
2007,BMW,F800ST    ,F800ST,6,aenea,23.8,142.8,,,,
2007,BMW,F800ST    ,F800ST,4,cirodam,24.9,99.6,,,,
2007,BMW,F800ST    ,F800ST,4,talexan,18.5,74,,,,
2006,BMW,F800ST    ,F800ST,13,pinkyponk,20.7,269.1,,,,
2006,BMW,F800ST    ,F800ST,2,Titch,22,44,,,,
2012,BMW,G650 GS   ,G650,4,milnerw,22.3,89.2,,,,
2012,BMW,G650 GS   ,G650,24,Mymidlife,30.3,727.2,,,,
2012,BMW,G650 GS   ,G650,15,kpbeddin,27.1,406.5,,,,
2012,BMW,G650 GS   ,G650,10,mamm,22.8,228,,,,
2012,BMW,G650 GS   ,G650,2,internetado,38.3,76.6,,,,
2011,BMW,G650 GS   ,G650,22,Astrobyker,28.1,618.2,,,,
2011,BMW,G650 GS   ,G650,102,Kokimoto,23.1,2356.2,,,,
2011,BMW,G650 GS   ,G650,40,progdan,24.7,988,,,,
2011,BMW,G650 GS   ,G650,8,rayf,26.7,213.6,,,,
2011,BMW,G650 GS   ,G650,24,Cueball,25,600,,,,
2011,BMW,G650 GS   ,G650,1,timgnz,25.4,25.4,,,,
2011,BMW,G650 GS   ,G650,49,Cesarjnd,24.4,1195.6,,,,
2011,BMW,G650 GS   ,G650,23,ali,25.4,584.2,,,,
2011,BMW,G650 GS   ,G650,8,Telmo,21.7,173.6,,,,
2011,BMW,G650 GS   ,G650,5,leepy,25.4,127,,,,
2010,BMW,G650 GS   ,G650,139,PauloTie,23.5,3266.5,,,,
2009,BMW,G650 GS   ,G650,20,joethelesser,21.4,428,,,,
2009,BMW,G650 GS   ,G650,60,brian83,26.3,1578,,,,
2009,BMW,G650 GS   ,G650,1,jenn7ryan,24.8,24.8,,,,
2009,BMW,G650 GS   ,G650,3,c3eh,21.5,64.5,,,,
2009,BMW,G650 GS   ,G650,6,RS4tunate,28.9,173.4,,,,
2005,BMW,G650 GS   ,G650,3,Cayman,29.5,88.5,,,,
2009,BMW,G650 XCountry   ,G650,4,MikeTheBike,24.6,98.4,,,,
2009,BMW,G650 XCountry   ,G650,52,682202,25.2,1310.4,,,,
2009,BMW,G650 XCountry   ,G650,5,loplop,25.2,126,,,,
2007,BMW,G650 Xmoto   ,G650,79,MisterEFF,21.4,1690.6,,,,
2007,BMW,G650 Xmoto   ,G650,7,pattyofurniture,27.4,191.8,,,,
2009,BMW,G650X Challenge   ,G650X,51,LuckyStriker,20.3,1035.3,,,,
2008,BMW,G650X Challenge   ,G650X,6,LangKat,21.7,130.2,,,,
2008,BMW,G650X Challenge   ,G650X,5,EmuL8,25.5,127.5,,,,
2007,BMW,G650X Challenge   ,G650X,3,boerbok,25.6,76.8,,,,
2007,BMW,G650X Challenge   ,G650X,25,Valimagdon,25.5,637.5,,,,
2007,BMW,G650X Challenge   ,G650X,2,jeffn,19.4,38.8,,,,
2007,BMW,G650X Challenge   ,G650X,9,Ritz.,24.3,218.7,,,,
2009,BMW,HP2    ,HP2,5,DaveHP,15.4,77,,,,
1992,BMW,K100    ,,3,FzBucks,15.9,47.7,1000,,,
1988,BMW,K100    ,,21,rumblebeard,17,357,1000,,,
1988,BMW,K100    ,,37,Rema1000.,16,592,1000,,,
1986,BMW,K100    ,,150,Tinboatcapt.,17.5,2625,1000,,,
1985,BMW,K100    ,,15,jartist,15.8,237,1000,,,
1985,BMW,K100    ,,1,633squadron.,15,15,1000,,,
1984,BMW,K100    ,,41,rendrag,14.4,590.4,1000,,,
1984,BMW,K100    ,,8,red645,17.3,138.4,1000,,,
1989,BMW,K100LT    ,,112,KiwiOrca,17.4,1948.8,1000,,,
1987,BMW,K100rs 8v   ,,8,oldcodgeman,15.7,125.6,1000,,,
1987,BMW,K100rs 8v   ,,1,hankino,21.8,21.8,1000,,,
1986,BMW,K100rs 8v   ,,1,GIJoe42,20.9,20.9,1000,,,
1984,BMW,K100rs 8v   ,,12,BXnut,16.1,193.2,1000,,,
1985,BMW,K100RT    ,,4,cruisecarter,16.9,67.6,1000,,,
1985,BMW,K100RT    ,,14,rogertheshrubber,15.2,212.8,1000,,,
2000,BMW,K1100LT    ,,87,RickM.,18.9,1644.3,1100,,,
1995,BMW,K1100LT    ,,1,NeilJ,14.5,14.5,1100,,,
1992,BMW,K1100LT    ,,3,thecivvie,18.5,55.5,1100,,,
1996,BMW,K1100RS    ,,6,kg314600,17.3,103.8,1100,,,
1995,BMW,K1100RS    ,,15,mawker,23.6,354,1100,,,
2009,BMW,K1200GT    ,,6,Sn3rt,17.3,103.8,1200,,,
2008,BMW,K1200GT    ,,36,Gunner08,18,648,1200,,,
2007,BMW,K1200GT    ,,4,Car901,13.5,54,1200,,,
2007,BMW,K1200GT    ,,31,threewest,18.3,567.3,1200,,,
2007,BMW,K1200GT    ,,38,MadX,20.1,763.8,1200,,,
